"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"100","100129935_at","LOC100129935","100129935","lectin, galactoside binding soluble 14 pseudogene"
"101","100129960_at","SDCBPP2","100129960","syndecan binding protein pseudogene 2"
"102","100129961_at","CCNT2-AS1","100129961","CCNT2 antisense RNA 1"
"103","100130100_at",NA,NA,NA
"104","100130111_at","LOC100130111","100130111","uncharacterized LOC100130111"
"105","100130155_at","MIR124-2HG","100130155","MIR124-2 host gene"
"106","100130219_at","LOC100130219","100130219","uncharacterized LOC100130219"
"107","100130249_at","PP2672","100130249","uncharacterized LOC100130249"
"108","100130264_at","LOC100130264","100130264","uncharacterized LOC100130264"
"109","100130275_at","TFAP2A-AS1","100130275","TFAP2A antisense RNA 1"
"110","100130331_at","LOC100130331","100130331","POTE ankyrin domain family, member F pseudogene"
"111","100130357_at","LOC100130357","100130357","uncharacterized LOC100130357"
"112","100130418_at","CECR7","100130418","cat eye syndrome chromosome region, candidate 7 (non-protein coding)"
"113","100130428_at","LOC100130428","100130428","IGYY565"
"114","100130449_at","PP14571","100130449","uncharacterized LOC100130449"
"115","100130452_at","LOC100130452","100130452","uncharacterized LOC100130452"
"116","100130458_at","LOC100130458","100130458","uncharacterized LOC100130458"
"117","100130502_at","LOC100130502","100130502","uncharacterized LOC100130502"
"118","100130503_at","LOC100130503","100130503","uncharacterized LOC100130503"
"119","100130519_at","TMEM221","100130519","transmembrane protein 221"
"120","100130522_at","PARD6G-AS1","100130522","PARD6G antisense RNA 1"
"121","100130548_at","LOC100130548","100130548","uncharacterized LOC100130548"
"122","100130557_at","NFYC-AS1","100130557","NFYC antisense RNA 1"
"123","100130581_at","LINC00910","100130581","long intergenic non-protein coding RNA 910"
"124","100130613_at","PRR32","100130613","proline rich 32"
"125","100130691_at","LOC100130691","100130691","uncharacterized LOC100130691"
"126","100130700_at","TP53TG3HP","100130700","TP53 target 3 family member H, pseudogene"
"127","100130705_at","LOC100130705","100130705","uncharacterized LOC100130705"
"128","100130717_at","HDHD5-AS1","100130717","HDHD5 antisense RNA 1"
"129","100130733_at","LRRC70","100130733","leucine rich repeat containing 70"
"130","100130776_at","AGAP2-AS1","100130776","AGAP2 antisense RNA 1"
"131","100130815_at","LOC100130815","100130815","uncharacterized LOC100130815"
"132","100130855_at","USP3-AS1","100130855","USP3 antisense RNA 1"
"133","100130856_at","LOC100130856","100130856","uncharacterized LOC100130856"
"134","100130872_at","LOC100130872","100130872","uncharacterized LOC100130872"
"135","100130889_at","PSORS1C3","100130889","psoriasis susceptibility 1 candidate 3 (non-protein coding)"
"136","100130894_at","VAC14-AS1","100130894","VAC14 antisense RNA 1"
"137","100130933_at","SMIM6","100130933","small integral membrane protein 6"
"138","100130938_at",NA,NA,NA
"139","100130950_at","LOC100130950","100130950","uncharacterized LOC100130950"
"140","100130958_at","SYCE1L","100130958","synaptonemal complex central element protein 1 like"
"141","100130964_at","LOC100130964","100130964","ADAM metallopeptidase domain 3A-like"
"142","100130967_at","C6orf99","100130967","chromosome 6 open reading frame 99"
"143","100130987_at","LOC100130987","100130987","uncharacterized LOC100130987"
"144","100130992_at","LOC100130992","100130992","uncharacterized LOC100130992"
"145","100131067_at","CKMT2-AS1","100131067","CKMT2 antisense RNA 1"
"146","100131096_at","TNRC6C-AS1","100131096","TNRC6C antisense RNA 1"
"147","100131117_at","ZBTB20-AS1","100131117","ZBTB20 antisense RNA 1"
"148","100131138_at","LINC01405","100131138","long intergenic non-protein coding RNA 1405"
"149","100131187_at","TSTD1","100131187","thiosulfate sulfurtransferase like domain containing 1"
"150","100131211_at","NEMP2","100131211","nuclear envelope integral membrane protein 2"
"151","100131213_at","ZNF503-AS2","100131213","ZNF503 antisense RNA 2"
"152","100131275_at","NSAP11","100131275","nervous system abundant protein 11"
"153","100131283_at",NA,NA,NA
"154","100131316_at",NA,NA,NA
"155","100131347_at","LOC100131347","100131347","RAD52 motif containing 1 pseudogene"
"156","100131354_at",NA,NA,NA
"157","100131366_at","LINC00605","100131366","long intergenic non-protein coding RNA 605"
"158","100131434_at","LINC00893","100131434","long intergenic non-protein coding RNA 893"
"159","100131454_at","DBIL5P","100131454","diazepam binding inhibitor-like 5, pseudogene"
"160","100131496_at","LOC100131496","100131496","uncharacterized LOC100131496"
"161","100131561_at","FKSG29","100131561","FKSG29"
"162","100131564_at","CCDC18-AS1","100131564","CCDC18 antisense RNA 1"
"163","100131607_at",NA,NA,NA
"164","100131655_at","LOC100131655","100131655","uncharacterized LOC100131655"
"165","100131691_at","MZF1-AS1","100131691","MZF1 antisense RNA 1"
"166","100131733_at","USP30-AS1","100131733","USP30 antisense RNA 1"
"167","100131755_at","ARMCX4","100131755","armadillo repeat containing, X-linked 4"
"168","100131801_at","PET100","100131801","PET100 homolog"
"169","100131814_at","LINC00271","100131814","long intergenic non-protein coding RNA 271"
"170","100131816_at","UBE2DNL","100131816","ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene)"
"171","100131825_at","CADM3-AS1","100131825","CADM3 antisense RNA 1"
"172","100131827_at","ZNF717","100131827","zinc finger protein 717"
"173","100131998_at","RRN3P3","100131998","RRN3 homolog, RNA polymerase I transcription factor pseudogene 3"
"174","100132234_at","LINC00543","100132234","long intergenic non-protein coding RNA 543"
"175","100132341_at","CLUHP3","100132341","clustered mitochondria homolog pseudogene 3"
"176","100132354_at","LINC01512","100132354","long intergenic non-protein coding RNA 1512"
"177","100132356_at","LOC100132356","100132356","uncharacterized LOC100132356"
"178","100132386_at","KRTAP4-9","100132386","keratin associated protein 4-9"
"179","100132464_at","FAM99B","100132464","family with sequence similarity 99 member B (non-protein coding)"
"180","100132476_at","KRTAP4-7","100132476","keratin associated protein 4-7"
"181","100132596_at","XGY2","100132596","Xg pseudogene, Y-linked 2"
"182","100132618_at","ZRANB2-AS1","100132618","ZRANB2 antisense RNA 1"
"183","100132677_at","BSN-AS2","100132677","BSN antisense RNA 2 (head to head)"
"184","100132707_at","PAXIP1-AS2","100132707","PAXIP1 antisense RNA 2"
"185","100132735_at","LOC100132735","100132735","uncharacterized LOC100132735"
"186","100132815_at","IPO5P1","100132815","importin 5 pseudogene 1"
"187","100132891_at","MSC-AS1","100132891","MSC antisense RNA 1"
"188","100132911_at","DPH3P1","100132911","diphthamide biosynthesis 3 pseudogene 1"
"189","100132987_at","LINC00856","100132987","long intergenic non-protein coding RNA 856"
"190","100133039_at","LOC100133039","100133039","uncharacterized LOC100133039"
"191","100133190_at","ADIRF-AS1","100133190","ADIRF antisense RNA 1"
"192","100133308_at","RSU1P2","100133308","Ras suppressor protein 1 pseudogene 2"
"193","100133311_at","HOXA-AS3","100133311","HOXA cluster antisense RNA 3"
"194","100133461_at","LINC02171","100133461","long intergenic non-protein coding RNA 2171"
"195","100133612_at","LINC01134","100133612","long intergenic non-protein coding RNA 1134"
"196","100133985_at","LINC01816","100133985","long intergenic non-protein coding RNA 1816"
"197","100133991_at","MAP3K14-AS1","100133991","MAP3K14 antisense RNA 1"
"198","100134229_at","JHDM1D-AS1","100134229","JHDM1D antisense RNA 1 (head to head)"
"199","100134259_at","LINC01119","100134259","long intergenic non-protein coding RNA 1119"
"200","100134361_at",NA,NA,NA
"201","100134368_at","LOC100134368","100134368","uncharacterized LOC100134368"
"202","100134713_at","NDUFB2-AS1","100134713","NDUFB2 antisense RNA 1"
"203","100137047_at","JMJD7","100137047","jumonji domain containing 7"
"204","10013_at","HDAC6","10013","histone deacetylase 6"
"205","100141515_at","C17orf99","100141515","chromosome 17 open reading frame 99"
"206","100144596_at","LINC00029","100144596","long intergenic non-protein coding RNA 29"
"207","100144597_at","LINC01056","100144597","long intergenic non-protein coding RNA 1056"
"208","100144602_at","EPHA5-AS1","100144602","EPHA5 antisense RNA 1"
"209","100144603_at","CHKB-AS1","100144603","CHKB antisense RNA 1 (head to head)"
"210","100144604_at","LINC00930","100144604","long intergenic non-protein coding RNA 930"
"211","100144748_at","KLLN","100144748","killin, p53-regulated DNA replication inhibitor"
"212","100147773_at","LOC100147773","100147773","uncharacterized LOC100147773"
"213","10014_at","HDAC5","10014","histone deacetylase 5"
"214","10015_at","PDCD6IP","10015","programmed cell death 6 interacting protein"
"215","100169752_at","TEX36-AS1","100169752","TEX36 antisense RNA 1"
"216","100169890_at","PEG3-AS1","100169890","PEG3 antisense RNA 1"
"217","100169989_at","DBIL5P2","100169989","diazepam binding inhibitor-like 5 pseudogene 2"
"218","10016_at","PDCD6","10016","programmed cell death 6"
"219","100170229_at","SRRM5","100170229","serine/arginine repetitive matrix 5"
"220","100170765_at","ERICH4","100170765","glutamate rich 4"
"221","100170841_at","EPOP","100170841","elongin BC and polycomb repressive complex 2 associated protein"
"222","10017_at","BCL2L10","10017","BCL2 like 10"
"223","100188893_at","TOMM6","100188893","translocase of outer mitochondrial membrane 6"
"224","100188953_at","LINC00092","100188953","long intergenic non-protein coding RNA 92"
"225","100189589_at","DCTN1-AS1","100189589","DCTN1 antisense RNA 1"
"226","10018_at","BCL2L11","10018","BCL2 like 11"
"227","100190938_at","RAMP2-AS1","100190938","RAMP2 antisense RNA 1"
"228","100190939_at","TPT1-AS1","100190939","TPT1 antisense RNA 1"
"229","100192378_at","ZFHX4-AS1","100192378","ZFHX4 antisense RNA 1"
"230","100192379_at","PP12613","100192379","uncharacterized LOC100192379"
"231","100192386_at","FLJ16779","100192386","uncharacterized LOC100192386"
"232","10019_at","SH2B3","10019","SH2B adaptor protein 3"
"233","1001_at","CDH3","1001","cadherin 3"
"234","10020_at","GNE","10020","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
"235","100216545_at","KMT2E-AS1","100216545","KMT2E antisense RNA 1 (head to head)"
"236","100216546_at","LINC01004","100216546","long intergenic non-protein coding RNA 1004"
"237","10021_at","HCN4","10021","hyperpolarization activated cyclic nucleotide gated potassium channel 4"
"238","10022_at","INSL5","10022","insulin like 5"
"239","10023_at","FRAT1","10023","FRAT1, WNT signaling pathway regulator"
"240","10024_at","TROAP","10024","trophinin associated protein"
"241","10025_at","MED16","10025","mediator complex subunit 16"
"242","100268168_at","LOC100268168","100268168","uncharacterized LOC100268168"
"243","10026_at","PIGK","10026","phosphatidylinositol glycan anchor biosynthesis class K"
"244","100270679_at","LINC01432","100270679","long intergenic non-protein coding RNA 1432"
"245","100270804_at","LOC100270804","100270804","uncharacterized LOC100270804"
"246","100271722_at","LINC00899","100271722","long intergenic non-protein coding RNA 899"
"247","100271832_at","LOC100271832","100271832","uncharacterized LOC100271832"
"248","100272147_at","CMC4","100272147","C-X9-C motif containing 4"
"249","100272217_at","LOC100272217","100272217","uncharacterized LOC100272217"
"250","100272228_at","LINC00894","100272228","long intergenic non-protein coding RNA 894"
"251","100286844_at","BCDIN3D-AS1","100286844","BCDIN3D antisense RNA 1"
"252","100286922_at","LOC100286922","100286922","DnaJ heat shock protein family (Hsp40) member B3 pseudogene"
"253","100286925_at","LOC100286925","100286925","uncharacterized LOC100286925"
"254","100286938_at","VPS13A-AS1","100286938","VPS13A antisense RNA 1"
"255","100287015_at","LOC100287015","100287015","uncharacterized LOC100287015"
"256","100287114_at","LINC00421","100287114","long intergenic non-protein coding RNA 421"
"257","100287177_at","EML2-AS1","100287177","EML2 antisense RNA 1"
"258","100287216_at","SH3RF3-AS1","100287216","SH3RF3 antisense RNA 1"
"259","100287227_at","TIPARP-AS1","100287227","TIPARP antisense RNA 1"
"260","100287366_at","OSTM1-AS1","100287366","OSTM1 antisense RNA 1"
"261","100287437_at",NA,NA,NA
"262","100287482_at","SMKR1","100287482","small lysine rich protein 1"
"263","100287558_at",NA,NA,NA
"264","100287569_at","LINC00173","100287569","long intergenic non-protein coding RNA 173"
"265","100287576_at","LOC100287576","100287576","uncharacterized LOC100287576"
"266","100287598_at",NA,NA,NA
"267","100287616_at","LOXL1-AS1","100287616","LOXL1 antisense RNA 1"
"268","100287628_at",NA,NA,NA
"269","100287765_at","LINC00630","100287765","long intergenic non-protein coding RNA 630"
"270","100287813_at",NA,NA,NA
"271","100287814_at","LINC00582","100287814","long intergenic non-protein coding RNA 582"
"272","100287896_at","LOC100287896","100287896","uncharacterized LOC100287896"
"273","100287902_at","LGALS8-AS1","100287902","LGALS8 antisense RNA 1"
"274","100287932_at","TIMM23","100287932","translocase of inner mitochondrial membrane 23"
"275","100288079_at","GS1-279B7.1","100288079","microtubule associated protein 1 light chain 3 beta pseudogene"
"276","100288092_at",NA,NA,NA
"277","100288122_at","LDLRAD4-AS1","100288122","LDLRAD4 antisense RNA 1"
"278","100288123_at","LOC100288123","100288123","uncharacterized LOC100288123"
"279","100288152_at","SLC9A3-AS1","100288152","SLC9A3 antisense RNA 1"
"280","100288198_at","HMGN3-AS1","100288198","HMGN3 antisense RNA 1"
"281","100288413_at","ERVMER34-1","100288413","endogenous retrovirus group MER34 member 1"
"282","100288432_at","IL10RB-AS1","100288432","IL10RB antisense RNA 1 (head to head)"
"283","100288637_at","LOC100288637","100288637","OTU deubiquitinase 7A pseudogene"
"284","100288679_at",NA,NA,NA
"285","100288730_at","PAN3-AS1","100288730","PAN3 antisense RNA 1"
"286","100288797_at","TMEM239","100288797","transmembrane protein 239"
"287","100288801_at","FRG2C","100288801","FSHD region gene 2 family member C"
"288","100288911_at","LOC100288911","100288911","uncharacterized LOC100288911"
"289","100289019_at","SLC25A25-AS1","100289019","SLC25A25 antisense RNA 1"
"290","100289092_at","ATP2A1-AS1","100289092","ATP2A1 antisense RNA 1"
"291","100289098_at","GS1-124K5.4","100289098","uncharacterized LOC100289098"
"292","100289187_at","TMEM225B","100289187","transmembrane protein 225B"
"293","100289230_at","LOC100289230","100289230","uncharacterized LOC100289230"
"294","100289251_at",NA,NA,NA
"295","100289255_at","LINC00675","100289255","long intergenic non-protein coding RNA 675"
"296","100289274_at","DNAJC3-AS1","100289274","DNAJC3 antisense RNA 1 (head to head)"
"297","100289341_at","MAN1B1-AS1","100289341","MAN1B1 antisense RNA 1 (head to head)"
"298","100289361_at","LOC100289361","100289361","uncharacterized LOC100289361"
"299","100289373_at","UBAC2-AS1","100289373","UBAC2 antisense RNA 1"
"300","100289410_at","MCF2L-AS1","100289410","MCF2L antisense RNA 1"
"301","100289495_at","LOC100289495","100289495","uncharacterized LOC100289495"
"302","100289509_at","KCNIP2-AS1","100289509","KCNIP2 antisense RNA 1"
"303","100289635_at","ZNF605","100289635","zinc finger protein 605"
"304","100289678_at","ZNF783","100289678","zinc finger family member 783"
"305","100292680_at","LINC00942","100292680","long intergenic non-protein coding RNA 942"
"306","100293516_at","ZNF587B","100293516","zinc finger protein 587B"
"307","100294362_at","LOC100294362","100294362","uncharacterized LOC100294362"
"308","100294720_at","NHEG1","100294720","neuroblastoma highly expressed 1"
"309","1002_at","CDH4","1002","cadherin 4"
"310","100302650_at","BRE-AS1","100302650","BRE antisense RNA 1"
"311","100302691_at","LINC00184","100302691","long intergenic non-protein coding RNA 184"
"312","100302740_at","FAS-AS1","100302740","FAS antisense RNA 1"
"313","100303728_at","SLC25A5-AS1","100303728","SLC25A5 antisense RNA 1"
"314","100303755_at","PET117","100303755","PET117 homolog"
"315","100306951_at","PITPNA-AS1","100306951","PITPNA antisense RNA 1"
"316","100309464_at","OTX2-AS1","100309464","OTX2 antisense RNA 1 (head to head)"
"317","100316868_at","HOTTIP","100316868","HOXA distal transcript antisense RNA"
"318","100316904_at","SAP25","100316904","Sin3A associated protein 25"
"319","100329135_at","TRPC5OS","100329135","TRPC5 opposite strand"
"320","100359394_at","LINC00102","100359394","long intergenic non-protein coding RNA 102"
"321","10036_at","CHAF1A","10036","chromatin assembly factor 1 subunit A"
"322","100379224_at","LOC100379224","100379224","uncharacterized LOC100379224"
"323","100379661_at","GRIK1-AS2","100379661","GRIK1 antisense RNA 2"
"324","100381270_at","ZBED6","100381270","zinc finger BED-type containing 6"
"325","10038_at","PARP2","10038","poly(ADP-ribose) polymerase 2"
"326","10039_at","PARP3","10039","poly(ADP-ribose) polymerase family member 3"
"327","1003_at","CDH5","1003","cadherin 5"
"328","10040_at","TOM1L1","10040","target of myb1 like 1 membrane trafficking protein"
"329","100422737_at","LOC100422737","100422737","uncharacterized LOC100422737"
"330","10042_at","HMGXB4","10042","HMG-box containing 4"
"331","10043_at","TOM1","10043","target of myb1 membrane trafficking protein"
"332","10044_at","SH2D3C","10044","SH2 domain containing 3C"
"333","10045_at","SH2D3A","10045","SH2 domain containing 3A"
"334","10046_at","MAMLD1","10046","mastermind like domain containing 1"
"335","10047_at","CST8","10047","cystatin 8"
"336","10048_at","RANBP9","10048","RAN binding protein 9"
"337","100498859_at","LINC00881","100498859","long intergenic non-protein coding RNA 881"
"338","100499177_at","THAP9-AS1","100499177","THAP9 antisense RNA 1"
"339","100499194_at","LOC100499194","100499194","uncharacterized LOC100499194"
"340","100499466_at","LINC00674","100499466","long intergenic non-protein coding RNA 674"
"341","100499467_at","LINC00673","100499467","long intergenic non-protein coding RNA 673"
"342","100499489_at","LOC100499489","100499489","uncharacterized LOC100499489"
"343","10049_at","DNAJB6","10049","DnaJ heat shock protein family (Hsp40) member B6"
"344","1004_at","CDH6","1004","cadherin 6"
"345","100500850_at","MIR3682","100500850","microRNA 3682"
"346","100505474_at","LINC01539","100505474","long intergenic non-protein coding RNA 1539"
"347","100505478_at","TEX48","100505478","testis expressed 48"
"348","100505481_at",NA,NA,NA
"349","100505483_at","PRKAG2-AS1","100505483","PRKAG2 antisense RNA 1"
"350","100505484_at",NA,NA,NA
"351","100505487_at",NA,NA,NA
"352","100505490_at",NA,NA,NA
"353","100505491_at",NA,NA,NA
"354","100505495_at","PCAT19","100505495","prostate cancer associated transcript 19 (non-protein coding)"
"355","100505498_at","LOC100505498","100505498","uncharacterized LOC100505498"
"356","100505500_at",NA,NA,NA
"357","100505501_at","LOC100505501","100505501","uncharacterized LOC100505501"
"358","100505515_at","LINC01723","100505515","long intergenic non-protein coding RNA 1723"
"359","100505518_at","EDNRB-AS1","100505518","EDNRB antisense RNA 1"
"360","100505519_at",NA,NA,NA
"361","100505525_at",NA,NA,NA
"362","100505533_at",NA,NA,NA
"363","100505536_at","ISM1-AS1","100505536","ISM1 antisense RNA 1"
"364","100505538_at","RBM26-AS1","100505538","RBM26 antisense RNA 1"
"365","100505540_at","SLIT1-AS1","100505540","SLIT1 antisense RNA 1"
"366","100505545_at","LINC01095","100505545","long intergenic non-protein coding RNA 1095"
"367","100505547_at","LINC01208","100505547","long intergenic non-protein coding RNA 1208"
"368","100505549_at","LOC100505549","100505549","uncharacterized LOC100505549"
"369","100505554_at",NA,NA,NA
"370","100505555_at","LOC100505555","100505555","uncharacterized LOC100505555"
"371","100505562_at",NA,NA,NA
"372","100505564_at","LOC100505564","100505564","uncharacterized LOC100505564"
"373","100505565_at",NA,NA,NA
"374","100505570_at","LOC100505570","100505570","uncharacterized LOC100505570"
"375","100505572_at",NA,NA,NA
"376","100505573_at","INAFM2","100505573","InaF motif containing 2"
"377","100505574_at",NA,NA,NA
"378","100505576_at","LINC00672","100505576","long intergenic non-protein coding RNA 672"
"379","100505583_at","LINC00838","100505583","long intergenic non-protein coding RNA 838"
"380","100505592_at","GAPLINC","100505592","gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA"
"381","100505598_at",NA,NA,NA
"382","100505601_at","PARD3-AS1","100505601","PARD3 antisense RNA 1"
"383","100505606_at",NA,NA,NA
"384","100505609_at","LINC02053","100505609","long intergenic non-protein coding RNA 2053"
"385","100505616_at","SNHG21","100505616","small nucleolar RNA host gene 21"
"386","100505619_at","LINC00919","100505619","long intergenic non-protein coding RNA 919"
"387","100505622_at","LOC100505622","100505622","uncharacterized LOC100505622"
"388","100505624_at","GTF3C2-AS1","100505624","GTF3C2 antisense RNA 1"
"389","100505633_at","LINC01133","100505633","long intergenic non-protein coding RNA 1133"
"390","100505634_at",NA,NA,NA
"391","100505635_at","LOC100505635","100505635","uncharacterized LOC100505635"
"392","100505639_at",NA,NA,NA
"393","100505641_at","FGD5-AS1","100505641","FGD5 antisense RNA 1"
"394","100505644_at",NA,NA,NA
"395","100505649_at",NA,NA,NA
"396","100505650_at","LOC100505650","100505650","uncharacterized LOC100505650"
"397","100505657_at",NA,NA,NA
"398","100505658_at","LOC100505658","100505658","uncharacterized LOC100505658"
"399","100505659_at","LINC00967","100505659","long intergenic non-protein coding RNA 967"
"400","100505664_at","LOC100505664","100505664","uncharacterized LOC100505664"
"401","100505666_at","DCST1-AS1","100505666","DCST1 antisense RNA 1"
"402","100505668_at",NA,NA,NA
"403","100505676_at","RRS1-AS1","100505676","RRS1 antisense RNA 1 (head to head)"
"404","100505681_at","NAPA-AS1","100505681","NAPA antisense RNA 1"
"405","100505683_at","LINC01431","100505683","long intergenic non-protein coding RNA 1431"
